source,target,relation,file
ingest,analyse,downstream,airflow-core/src/airflow/example_dags/example_branch_labels.py
check,Label,downstream,airflow-core/src/airflow/example_dags/example_branch_labels.py
save,report,downstream,airflow-core/src/airflow/example_dags/example_branch_labels.py
check,Label,downstream,airflow-core/src/airflow/example_dags/example_branch_labels.py
describe,error,downstream,airflow-core/src/airflow/example_dags/example_branch_labels.py
cond,empty_task_1,downstream,airflow-core/src/airflow/example_dags/example_branch_python_dop_operator_3.py
cond,empty_task_2,downstream,airflow-core/src/airflow/example_dags/example_branch_python_dop_operator_3.py
create_entry_gcs,delete_entry,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_group,delete_entry_group,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag,delete_tag,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_group,delete_entry_group,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_group,create_entry_group_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_group,create_entry_group_result2,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_gcs,delete_entry,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_gcs,create_entry_gcs_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_gcs,create_entry_gcs_result2,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template,delete_tag_template_field,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template,create_tag_template_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template,create_tag_template_result2,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template_field,delete_tag_template_field,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template_field,create_tag_template_field_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template_field,create_tag_template_field_result2,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag,delete_tag,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag,create_tag_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag,create_tag_result2,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template,get_tag_template,downstream,airflow-core/src/airflow/example_dags/example_complex.py
get_tag_template,get_tag_template_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_gcs,get_entry,downstream,airflow-core/src/airflow/example_dags/example_complex.py
get_entry,get_entry_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_group,get_entry_group,downstream,airflow-core/src/airflow/example_dags/example_complex.py
get_entry_group,get_entry_group_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag,list_tags,downstream,airflow-core/src/airflow/example_dags/example_complex.py
list_tags,list_tags_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_gcs,lookup_entry,downstream,airflow-core/src/airflow/example_dags/example_complex.py
lookup_entry,lookup_entry_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template_field,rename_tag_template_field,downstream,airflow-core/src/airflow/example_dags/example_complex.py
search_catalog,search_catalog_result,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_entry_gcs,update_entry,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag,update_tag,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template,update_tag_template,downstream,airflow-core/src/airflow/example_dags/example_complex.py
create_tag_template_field,update_tag_template_field,downstream,airflow-core/src/airflow/example_dags/example_complex.py
start,task_1,downstream,airflow-core/src/airflow/example_dags/example_custom_weight.py
start,task_2,downstream,airflow-core/src/airflow/example_dags/example_custom_weight.py
start,task_non_custom,downstream,airflow-core/src/airflow/example_dags/example_custom_weight.py
sample_task_1,sample_task_2,downstream,airflow-core/src/airflow/example_dags/example_display_name.py
volume_task,third_task,downstream,airflow-core/src/airflow/example_dags/example_kubernetes_executor.py
sidecar_task,third_task,downstream,airflow-core/src/airflow/example_dags/example_kubernetes_executor.py
latest_only,task1,downstream,airflow-core/src/airflow/example_dags/example_latest_only_with_trigger.py
task2,task3,downstream,airflow-core/src/airflow/example_dags/example_latest_only_with_trigger.py
task2,task4,downstream,airflow-core/src/airflow/example_dags/example_latest_only_with_trigger.py
branch_1,true_1,downstream,airflow-core/src/airflow/example_dags/example_nested_branch_dag.py
branch_1,false_1,downstream,airflow-core/src/airflow/example_dags/example_nested_branch_dag.py
branch_2,true_2,downstream,airflow-core/src/airflow/example_dags/example_nested_branch_dag.py
branch_2,false_2,downstream,airflow-core/src/airflow/example_dags/example_nested_branch_dag.py
join_2,false_3,downstream,airflow-core/src/airflow/example_dags/example_nested_branch_dag.py
lang_select,english_greetings,downstream,airflow-core/src/airflow/example_dags/example_params_trigger_ui.py
lang_select,german_greetings,downstream,airflow-core/src/airflow/example_dags/example_params_trigger_ui.py
lang_select,french_greetings,downstream,airflow-core/src/airflow/example_dags/example_params_trigger_ui.py
run_this,also_run_this,downstream,airflow-core/src/airflow/example_dags/example_passing_params_via_test_command.py
root_setup,root_normal,downstream,airflow-core/src/airflow/example_dags/example_setup_teardown.py
inner_setup,inner_normal,downstream,airflow-core/src/airflow/example_dags/example_setup_teardown.py
root_normal,section_1,downstream,airflow-core/src/airflow/example_dags/example_setup_teardown.py
