source,target,relation,file
artifact-disable-archive,generate-artifact,has_step,examples/artifact-disable-archive.yaml
artifact-disable-archive,consume-artifact,has_step,examples/artifact-disable-archive.yaml
generate-artifact,consume-artifact,step_sequence,examples/artifact-disable-archive.yaml
artifact-example,generate-artifact,has_step,examples/artifact-passing-explicit-plugin.yaml
artifact-example,consume-artifact,has_step,examples/artifact-passing-explicit-plugin.yaml
generate-artifact,consume-artifact,step_sequence,examples/artifact-passing-explicit-plugin.yaml
artifact-example,generate-artifact,has_step,examples/artifact-passing-subpath.yaml
artifact-example,list-artifact,has_step,examples/artifact-passing-subpath.yaml
generate-artifact,list-artifact,step_sequence,examples/artifact-passing-subpath.yaml
artifact-example,consume-artifact,has_step,examples/artifact-passing-subpath.yaml
list-artifact,consume-artifact,step_sequence,examples/artifact-passing-subpath.yaml
artifact-example,generate-artifact,has_step,examples/artifact-passing.yaml
artifact-example,consume-artifact,has_step,examples/artifact-passing.yaml
generate-artifact,consume-artifact,step_sequence,examples/artifact-passing.yaml
artifact-example,generate-artifact,has_step,examples/artifactory-artifact.yaml
artifact-example,consume-artifact,has_step,examples/artifactory-artifact.yaml
generate-artifact,consume-artifact,step_sequence,examples/artifactory-artifact.yaml
main,clone,has_task,examples/buildkit-template.yaml
main,build,has_task,examples/buildkit-template.yaml
main,image,has_task,examples/buildkit-template.yaml
ci-example,build,has_step,examples/ci-output-artifact.yaml
ci-example,test,has_step,examples/ci-output-artifact.yaml
build,test,step_sequence,examples/ci-output-artifact.yaml
ci-example,release,has_step,examples/ci-output-artifact.yaml
test,release,step_sequence,examples/ci-output-artifact.yaml
main,cache-restore,has_task,examples/ci-workflowtemplate.yaml
main,clone,has_task,examples/ci-workflowtemplate.yaml
clone,deps,dag_dependency,examples/ci-workflowtemplate.yaml
cache-restore,deps,dag_dependency,examples/ci-workflowtemplate.yaml
main,deps,has_task,examples/ci-workflowtemplate.yaml
deps,build,dag_dependency,examples/ci-workflowtemplate.yaml
main,build,has_task,examples/ci-workflowtemplate.yaml
build,test,dag_dependency,examples/ci-workflowtemplate.yaml
main,test,has_task,examples/ci-workflowtemplate.yaml
ci-example,build,has_step,examples/ci.yaml
ci-example,test,has_step,examples/ci.yaml
build,test,step_sequence,examples/ci.yaml
diamond,A,has_task,examples/cluster-workflow-template/cluster-wftmpl-dag.yaml
diamond,B,has_task,examples/cluster-workflow-template/cluster-wftmpl-dag.yaml
diamond,C,has_task,examples/cluster-workflow-template/cluster-wftmpl-dag.yaml
diamond,D,has_task,examples/cluster-workflow-template/cluster-wftmpl-dag.yaml
inner-steps,inner-hello1,has_step,examples/cluster-workflow-template/clustertemplates.yaml
inner-steps,inner-hello2a,has_step,examples/cluster-workflow-template/clustertemplates.yaml
inner-steps,inner-hello2b,has_step,examples/cluster-workflow-template/clustertemplates.yaml
inner-hello1,inner-hello2a,step_sequence,examples/cluster-workflow-template/clustertemplates.yaml
inner-hello1,inner-hello2b,step_sequence,examples/cluster-workflow-template/clustertemplates.yaml
inner-diamond,inner-A,has_task,examples/cluster-workflow-template/clustertemplates.yaml
inner-diamond,inner-B,has_task,examples/cluster-workflow-template/clustertemplates.yaml
inner-diamond,inner-C,has_task,examples/cluster-workflow-template/clustertemplates.yaml
inner-diamond,inner-D,has_task,examples/cluster-workflow-template/clustertemplates.yaml
hello-hello-hello,hello1,has_step,examples/cluster-workflow-template/mixed-cluster-namespaced-wftmpl-steps.yaml
hello-hello-hello,hello2a,has_step,examples/cluster-workflow-template/mixed-cluster-namespaced-wftmpl-steps.yaml
hello-hello-hello,hello2b,has_step,examples/cluster-workflow-template/mixed-cluster-namespaced-wftmpl-steps.yaml
hello1,hello2a,step_sequence,examples/cluster-workflow-template/mixed-cluster-namespaced-wftmpl-steps.yaml
hello1,hello2b,step_sequence,examples/cluster-workflow-template/mixed-cluster-namespaced-wftmpl-steps.yaml
coinflip,flip-coin,has_step,examples/coinflip-recursive.yaml
coinflip,heads,has_step,examples/coinflip-recursive.yaml
coinflip,tails,has_step,examples/coinflip-recursive.yaml
flip-coin,heads,step_sequence,examples/coinflip-recursive.yaml
flip-coin,tails,step_sequence,examples/coinflip-recursive.yaml
coinflip,flip-coin,has_step,examples/coinflip.yaml
coinflip,heads,has_step,examples/coinflip.yaml
coinflip,tails,has_step,examples/coinflip.yaml
flip-coin,heads,step_sequence,examples/coinflip.yaml
flip-coin,tails,step_sequence,examples/coinflip.yaml
main,flip-coin,has_step,examples/conditional-artifacts.yaml
main,heads,has_step,examples/conditional-artifacts.yaml
main,tails,has_step,examples/conditional-artifacts.yaml
flip-coin,heads,step_sequence,examples/conditional-artifacts.yaml
flip-coin,tails,step_sequence,examples/conditional-artifacts.yaml
main,flip-coin,has_step,examples/conditional-parameters.yaml
