model_id,source_node,source_type,target_node,target_type,condition
dfg,W_Completeren aanvraag,activity,W_Completeren aanvraag,activity,38004
dfg,W_Nabellen offertes,activity,W_Nabellen offertes,activity,36084
dfg,W_Nabellen incomplete dossiers,activity,W_Nabellen incomplete dossiers,activity,18475
dfg,A_SUBMITTED,activity,A_PARTLYSUBMITTED,activity,13087
dfg,A_PREACCEPTED,activity,W_Completeren aanvraag,activity,7367
dfg,O_CREATED,activity,O_SENT,activity,7030
dfg,W_Afhandelen leads,activity,W_Afhandelen leads,activity,6992
dfg,O_SENT,activity,W_Nabellen offertes,activity,6633
dfg,W_Valideren aanvraag,activity,W_Nabellen incomplete dossiers,activity,5911
dfg,W_Valideren aanvraag,activity,W_Valideren aanvraag,activity,5849
dfg,W_Nabellen incomplete dossiers,activity,W_Valideren aanvraag,activity,5459
dfg,W_Completeren aanvraag,activity,A_ACCEPTED,activity,5113
dfg,W_Nabellen offertes,activity,W_Completeren aanvraag,activity,5018
dfg,W_Completeren aanvraag,activity,W_Nabellen offertes,activity,5015
dfg,A_PARTLYSUBMITTED,activity,A_PREACCEPTED,activity,4852
dfg,A_PARTLYSUBMITTED,activity,W_Afhandelen leads,activity,4739
dfg,O_SENT_BACK,activity,W_Valideren aanvraag,activity,3454
dfg,A_PARTLYSUBMITTED,activity,A_DECLINED,activity,3429
dfg,W_Valideren aanvraag,activity,W_Nabellen offertes,activity,3255
dfg,W_Nabellen offertes,activity,O_SENT_BACK,activity,3254
dfg,W_Nabellen offertes,activity,W_Valideren aanvraag,activity,3208
dfg,O_SELECTED,activity,O_CREATED,activity,3148
dfg,A_FINALIZED,activity,O_CREATED,activity,2907
dfg,O_SELECTED,activity,A_FINALIZED,activity,2907
dfg,A_ACCEPTED,activity,O_SELECTED,activity,2879
dfg,W_Afhandelen leads,activity,W_Completeren aanvraag,activity,2517
dfg,W_Completeren aanvraag,activity,W_Afhandelen leads,activity,2517
dfg,W_Afhandelen leads,activity,A_PREACCEPTED,activity,2515
dfg,A_DECLINED,activity,W_Afhandelen leads,activity,2234
dfg,W_Afhandelen leads,activity,A_DECLINED,activity,2234
dfg,A_FINALIZED,activity,O_SELECTED,activity,2108
dfg,A_ACCEPTED,activity,A_FINALIZED,activity,2089
