source,target,relation,dataset
_n-r3AB7oEDqwIfxY5erVwQ,_pokl8B7oEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_pokl8B7oEDqwIfxY5erVwQ,_4SjxUB7sEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_n-r3AB7oEDqwIfxY5erVwQ,_IizssB7tEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_IizssB7tEDqwIfxY5erVwQ,_JqhtQB7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_IizssB7tEDqwIfxY5erVwQ,_NHj00B7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_JqhtQB7uEDqwIfxY5erVwQ,_TymJcB7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_bRHJcB7uEDqwIfxY5erVwQ,_gLG-QB7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_bRHJcB7uEDqwIfxY5erVwQ,_hz9LYB7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_gLG-QB7uEDqwIfxY5erVwQ,_uiiW0B7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_gLG-QB7uEDqwIfxY5erVwQ,_tBdloB7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_uiiW0B7uEDqwIfxY5erVwQ,_8TlE0B7uEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_hz9LYB7uEDqwIfxY5erVwQ,_F-Bw4B7vEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_hz9LYB7uEDqwIfxY5erVwQ,_UPtGwB7vEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
_UPtGwB7vEDqwIfxY5erVwQ,_fLp28B7vEDqwIfxY5erVwQ,SpecializationRelationship,EA ModelSet
id-8c044888,a93de3a1,CompositionRelationship,EA ModelSet
id-8c044888,da44bbf8,CompositionRelationship,EA ModelSet
id-8c044888,d82ac8e0,CompositionRelationship,EA ModelSet
id-404ce690,id-46c463a6,AssociationRelationship,EA ModelSet
id-2df2c3ca,id-31de5b9f,CompositionRelationship,EA ModelSet
id-2df2c3ca,id-551d25a5,CompositionRelationship,EA ModelSet
id-2df2c3ca,id-004fe59d,CompositionRelationship,EA ModelSet
id-2df2c3ca,id-24a5bb1e,CompositionRelationship,EA ModelSet
d82ac8e0,a93de3a1,FlowRelationship,EA ModelSet
a93de3a1,da44bbf8,FlowRelationship,EA ModelSet
id-31de5b9f,id-004fe59d,FlowRelationship,EA ModelSet
