source,target,relation,file
greeting,actions/first-interaction@v1,has_step,automation/greetings.yml
label,actions/labeler@v4,has_step,automation/label.yml
greet,Send greeting,has_step,automation/manual.yml
stale,actions/stale@v5,has_step,automation/stale.yml
summary,Checkout repository,has_step,automation/summary.yml
summary,Run AI inference,has_step,automation/summary.yml
summary,Comment with AI summary,has_step,automation/summary.yml
build,Checkout,has_step,ci/ada.yml
build,Set up GNAT toolchain,has_step,ci/ada.yml
build,Build,has_step,ci/ada.yml
build,actions/checkout@v4,has_step,ci/android.yml
build,set up JDK 11,has_step,ci/android.yml
build,Grant execute permission for gradlew,has_step,ci/android.yml
build,Build with Gradle,has_step,ci/android.yml
build,actions/checkout@v4,has_step,ci/ant.yml
build,Set up JDK 11,has_step,ci/ant.yml
build,Build with Ant,has_step,ci/ant.yml
build,actions/checkout@v4,has_step,ci/blank.yml
build,Run a one-line script,has_step,ci/blank.yml
build,Run a multi-line script,has_step,ci/blank.yml
build,actions/checkout@v4,has_step,ci/c-cpp.yml
build,configure,has_step,ci/c-cpp.yml
build,make,has_step,ci/c-cpp.yml
build,make check,has_step,ci/c-cpp.yml
build,make distcheck,has_step,ci/c-cpp.yml
build,actions/checkout@v4,has_step,ci/clojure.yml
build,Install dependencies,has_step,ci/clojure.yml
build,Run tests,has_step,ci/clojure.yml
build,actions/checkout@v4,has_step,ci/cmake-multi-platform.yml
build,Set reusable strings,has_step,ci/cmake-multi-platform.yml
build,Configure CMake,has_step,ci/cmake-multi-platform.yml
build,Build,has_step,ci/cmake-multi-platform.yml
build,Test,has_step,ci/cmake-multi-platform.yml
build,actions/checkout@v4,has_step,ci/cmake-single-platform.yml
build,Configure CMake,has_step,ci/cmake-single-platform.yml
build,Build,has_step,ci/cmake-single-platform.yml
build,Test,has_step,ci/cmake-single-platform.yml
build,actions/checkout@v4,has_step,ci/crystal.yml
build,Install dependencies,has_step,ci/crystal.yml
build,Run tests,has_step,ci/crystal.yml
build,actions/checkout@v4,has_step,ci/d.yml
build,dlang-community/setup-dlang@4c99aa991ce7d19dd3064de0a4f2f6b2f152e2d7,has_step,ci/d.yml
build,Build & Test,has_step,ci/d.yml
build,actions/checkout@v4,has_step,ci/dart.yml
build,dart-lang/setup-dart@9a04e6d73cca37bd455e0608d7e5092f881fd603,has_step,ci/dart.yml
build,Install dependencies,has_step,ci/dart.yml
build,Analyze project source,has_step,ci/dart.yml
build,Run tests,has_step,ci/dart.yml
build,actions/checkout@v4,has_step,ci/datadog-synthetics.yml
build,Run Datadog Synthetic tests,has_step,ci/datadog-synthetics.yml
test,Setup repo,has_step,ci/deno.yml
test,Setup Deno,has_step,ci/deno.yml
test,Run linter,has_step,ci/deno.yml
test,Run tests,has_step,ci/deno.yml
build,actions/checkout@v4,has_step,ci/django.yml
build,Set up Python ${{ matrix.python-version }},has_step,ci/django.yml
build,Install Dependencies,has_step,ci/django.yml
build,Run Tests,has_step,ci/django.yml
build,actions/checkout@v4,has_step,ci/docker-image.yml
build,Build the Docker image,has_step,ci/docker-image.yml
build,Checkout repository,has_step,ci/docker-publish.yml
build,Install cosign,has_step,ci/docker-publish.yml
build,Set up Docker Buildx,has_step,ci/docker-publish.yml
build,Log into registry ${{ env.REGISTRY }},has_step,ci/docker-publish.yml
build,Extract Docker metadata,has_step,ci/docker-publish.yml
