model_id,source_node,source_type,target_node,target_type,condition
ex00_writer0001,Gateway_0r0cczw,gateway:parallelGateway,A new bank account was created,event:endEvent,
ex00_writer0001,send a PIN number in a letter,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0001,Gateway_0n9isgp,gateway:parallelGateway,send a PIN number in a letter,task:task,
ex00_writer0001,send a bank card in a letter,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0001,Gateway_0n9isgp,gateway:parallelGateway,send a bank card in a letter,task:task,
ex00_writer0001,send a welome pack in a letter,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0001,Gateway_0n9isgp,gateway:parallelGateway,send a welome pack in a letter,task:task,
ex00_writer0001,create a new bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0001,notify the customer by email,task:task,Application rejected,event:endEvent,
ex00_writer0001,evaluate the Application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0001,online Application received,event:startEvent,evaluate the Application,task:task,
ex00_writer0001,Gateway_1owg1nx,gateway:exclusiveGateway,notify the customer by email,task:task,Application is rejected
ex00_writer0001,Gateway_1owg1nx,gateway:exclusiveGateway,create a new bank account,task:task,Application is approved
ex00_writer0002,send welcome pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0002,send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0002,Gateway_0r0cczw,gateway:parallelGateway,account created,event:endEvent,
ex00_writer0002,send PIN,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0002,Gateway_0n9isgp,gateway:parallelGateway,send welcome pack,task:task,
ex00_writer0002,Gateway_0n9isgp,gateway:parallelGateway,send bank card,task:task,
ex00_writer0002,Gateway_0n9isgp,gateway:parallelGateway,send PIN,task:task,
ex00_writer0002,create new bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0002,accept request,task:task,create new bank account,task:task,
ex00_writer0002,Gateway_1owg1nx,gateway:exclusiveGateway,accept request,task:task,
ex00_writer0002,notify customer by e-mail,task:task,request rejected,event:endEvent,
ex00_writer0002,reject request,task:task,notify customer by e-mail,task:task,
ex00_writer0002,evaluate request,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0002,request recieved,event:startEvent,evaluate request,task:task,
ex00_writer0002,Gateway_1owg1nx,gateway:exclusiveGateway,reject request,task:task,
ex00_writer0005,send PIN number in seperate letter,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0005,Gateway_0n9isgp,gateway:parallelGateway,send PIN number in seperate letter,task:task,
ex00_writer0005,Gateway_0r0cczw,gateway:parallelGateway,Application rejected,event:endEvent,
ex00_writer0005,send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0005,Gateway_0n9isgp,gateway:parallelGateway,send bank card,task:task,
ex00_writer0005,send welcome pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0005,Gateway_0n9isgp,gateway:parallelGateway,send welcome pack,task:task,
ex00_writer0005,create new Bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0005,Notify customer via E-mail,task:task,Application rejected,event:endEvent,
ex00_writer0005,Application received,event:startEvent,evaluate application,task:task,
ex00_writer0005,evaluate application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0005,Gateway_1owg1nx,gateway:exclusiveGateway,Notify customer via E-mail,task:task,Application rejected
ex00_writer0005,Gateway_1owg1nx,gateway:exclusiveGateway,create new Bank account,task:task,approved
ex00_writer0006,evaluate application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0006,application received,event:startEvent,evaluate application,task:task,
ex00_writer0006,create bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0006,Send pin,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0006,Gateway_0n9isgp,gateway:parallelGateway,Send pin,task:task,
ex00_writer0006,Send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0006,Gateway_0n9isgp,gateway:parallelGateway,Send bank card,task:task,
ex00_writer0006,Send Welcome Pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0006,Gateway_0n9isgp,gateway:parallelGateway,Send Welcome Pack,task:task,
ex00_writer0006,End process,task:task,application approved,event:endEvent,
ex00_writer0006,Gateway_0r0cczw,gateway:parallelGateway,End process,task:task,
ex00_writer0006,Notify customer,task:task,application rejected,event:endEvent,
ex00_writer0006,Gateway_1owg1nx,gateway:exclusiveGateway,Notify customer,task:task,rejected
ex00_writer0006,Gateway_1owg1nx,gateway:exclusiveGateway,create bank account,task:task,approved
ex00_writer0008,Gateway_0r0cczw,gateway:parallelGateway,Approved application,event:endEvent,
ex00_writer0008,Send PIN,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0008,Gateway_0n9isgp,gateway:parallelGateway,Send PIN,task:task,
ex00_writer0008,Send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0008,Gateway_0n9isgp,gateway:parallelGateway,Send bank card,task:task,
ex00_writer0008,Send welcome Pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0008,Gateway_0n9isgp,gateway:parallelGateway,Send welcome Pack,task:task,
ex00_writer0008,Create new bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0008,Send rejection e-Mail,task:task,Rejected application,event:endEvent,
ex00_writer0008,Evaluate application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0008,Received online application,event:startEvent,Evaluate application,task:task,
ex00_writer0008,Gateway_1owg1nx,gateway:exclusiveGateway,Send rejection e-Mail,task:task,Application is rejected
ex00_writer0008,Gateway_1owg1nx,gateway:exclusiveGateway,Create new bank account,task:task,Application is approved
ex00_writer0013,Create bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0013,Evaluate Application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0013,Bank account application received,event:startEvent,Evaluate Application,task:task,
ex00_writer0013,send PIN number,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0013,Gateway_0n9isgp,gateway:parallelGateway,send PIN number,task:task,
ex00_writer0013,Send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0013,Gateway_0n9isgp,gateway:parallelGateway,Send bank card,task:task,
ex00_writer0013,Gateway_0r0cczw,gateway:parallelGateway,Event_0shei7g,event:endEvent,
ex00_writer0013,send Welcomepack pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0013,Gateway_0n9isgp,gateway:parallelGateway,send Welcomepack pack,task:task,
ex00_writer0013,Gateway_1owg1nx,gateway:exclusiveGateway,Notity customer,event:endEvent,Application rejected
ex00_writer0013,Gateway_1owg1nx,gateway:exclusiveGateway,Create bank account,task:task,Application approved
ex00_writer0014,Notify customer by email,task:task,Application declined,event:endEvent,
ex00_writer0014,Send welcome pack to customer,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0014,Send PIN number to customer,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0014,Gateway_0n9isgp,gateway:parallelGateway,Send PIN number to customer,task:task,
ex00_writer0014,Gateway_0r0cczw,gateway:parallelGateway,Application accepted,event:endEvent,
ex00_writer0014,Send bank card to customer,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0014,Gateway_0n9isgp,gateway:parallelGateway,Send bank card to customer,task:task,
ex00_writer0014,Gateway_0n9isgp,gateway:parallelGateway,Send welcome pack to customer,task:task,
ex00_writer0014,Create new bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0014,Evaluate application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0014,Application for opening a bank account received,event:startEvent,Evaluate application,task:task,
ex00_writer0014,Gateway_1owg1nx,gateway:exclusiveGateway,Notify customer by email,task:task,Application rejected
ex00_writer0014,Gateway_1owg1nx,gateway:exclusiveGateway,Create new bank account,task:task,Application approved
ex00_writer0015,evaluate application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0015,account bank application recieved,event:startEvent,evaluate application,task:task,
ex00_writer0015,Gateway_0r0cczw,gateway:parallelGateway,request proceed,event:endEvent,
ex00_writer0015,send welcome pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0015,send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0015,send pin number,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0015,Gateway_0n9isgp,gateway:parallelGateway,send bank card,task:task,
ex00_writer0015,Gateway_0n9isgp,gateway:parallelGateway,send welcome pack,task:task,
ex00_writer0015,Gateway_0n9isgp,gateway:parallelGateway,send pin number,task:task,
ex00_writer0015,create new bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0015,Gateway_1owg1nx,gateway:exclusiveGateway,customer notified via email about rejection,event:endEvent,rejected
ex00_writer0015,Gateway_1owg1nx,gateway:exclusiveGateway,create new bank account,task:task,approved
ex00_writer0016,send PIN,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0016,Gateway_0n9isgp,gateway:parallelGateway,send PIN,task:task,
ex00_writer0016,send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0016,Gateway_0n9isgp,gateway:parallelGateway,send bank card,task:task,
ex00_writer0016,Gateway_0r0cczw,gateway:parallelGateway,bank account created,event:endEvent,
ex00_writer0016,send welcome package,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0016,Gateway_0n9isgp,gateway:parallelGateway,send welcome package,task:task,
ex00_writer0016,Create bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0016,notify customer,task:task,order rejected,event:endEvent,
ex00_writer0016,evaluate application,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0016,Application received,event:startEvent,evaluate application,task:task,
ex00_writer0016,Gateway_1owg1nx,gateway:exclusiveGateway,notify customer,task:task,rejected
ex00_writer0016,Gateway_1owg1nx,gateway:exclusiveGateway,Create bank account,task:task,approved
ex00_writer0017,Gateway_1owg1nx,gateway:exclusiveGateway,notify via mail,task:task,rejected
ex00_writer0017,Gateway_0r0cczw,gateway:parallelGateway,approved,event:endEvent,
ex00_writer0017,Gateway_0n9isgp,gateway:parallelGateway,send Pin number,task:task,
ex00_writer0017,Gateway_0n9isgp,gateway:parallelGateway,send bank card,task:task,
ex00_writer0017,Gateway_0n9isgp,gateway:parallelGateway,send welcome,task:task,
ex00_writer0017,create new acc.,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0017,notify via mail,task:task,app rejected,event:endEvent,
ex00_writer0017,evaluate appl.,task:task,Gateway_1owg1nx,gateway:exclusiveGateway,
ex00_writer0017,App received,event:startEvent,evaluate appl.,task:task,
ex00_writer0017,Gateway_1owg1nx,gateway:exclusiveGateway,create new acc.,task:task,approved
ex00_writer0017,send welcome,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0017,send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0017,send Pin number,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0019,Gateway_0r0cczw,gateway:parallelGateway,Bank account opened,event:endEvent,
ex00_writer0019,send bank card,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0019,Send pin number,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0019,Gateway_0n9isgp,gateway:parallelGateway,Send pin number,task:task,
ex00_writer0019,Gateway_0n9isgp,gateway:parallelGateway,send bank card,task:task,
ex00_writer0019,Send welcome pack,task:task,Gateway_0r0cczw,gateway:parallelGateway,
ex00_writer0019,Gateway_0n9isgp,gateway:parallelGateway,Send welcome pack,task:task,
ex00_writer0019,Create new bank account,task:task,Gateway_0n9isgp,gateway:parallelGateway,
ex00_writer0019,Notify customer by email,task:task,Application rejected,event:endEvent,
