model_id,source_node,source_type,target_node,target_type,condition
01 - Automatic join mode,d0c8c78e.1281e8,inject,c59ac70d.bb9c58,template,
01 - Automatic join mode,c59ac70d.bb9c58,template,21829618.af5b0a,split,
01 - Automatic join mode,d6c9fe0.d34ad,join,8defdbb8.aa9c08,debug,
01 - Automatic join mode,21829618.af5b0a,split,d6c9fe0.d34ad,join,
01 - Automatic join mode,a46bcdd3.db621,csv,5d1c8a1e.691f74,join,
01 - Automatic join mode,65bf1807.dafad8,inject,3640a5ef.f1e0ea,template,
01 - Automatic join mode,3640a5ef.f1e0ea,template,a46bcdd3.db621,csv,
01 - Automatic join mode,5d1c8a1e.691f74,join,457ab3c9.7301ec,debug,
01 - Automatic join mode,28970739.29e728,csv,bbc984d8.be42d8,switch,
01 - Automatic join mode,c8297669.559348,inject,2f8f819f.3371be,template,
01 - Automatic join mode,2f8f819f.3371be,template,28970739.29e728,csv,
01 - Automatic join mode,716ea12e.1edb6,join,967a8991.a09208,debug,
01 - Automatic join mode,bbc984d8.be42d8,switch,716ea12e.1edb6,join,
01 - Catch error,d1073c30.cb321,inject,7bab9134.35ad,function,
01 - Catch error,b45ca54e.eca208,catch,f96f0ba7.cfe008,debug,
01 - Connect to TCP out server,73874b9e.d985b4,tcp in,ce332113.d2c31,debug,
01 - Connect to TCP out server,9f80f9c7.1e3c98,inject,a4bd9948.dfeb58,tcp out,
01 - Connect to websocket in server,13410716.69c9d9,websocket in,c2541f10.59544,debug,
01 - Connect to websocket in server,6788839e.04576c,inject,438c232a.06c2cc,websocket out,
01 - Convert JSON string to JavaScript object,9976e95d.2f8398,inject,d94fc083.49d87,template,
01 - Convert JSON string to JavaScript object,d94fc083.49d87,template,1a3dc54a.78598b,json,
01 - Convert JSON string to JavaScript object,1a3dc54a.78598b,json,8950a55d.023988,debug,
01 - Convert JavaScript object to XML,82f1bd0b.43474,xml,1cd4ad02.9a5423,debug,
01 - Convert JavaScript object to XML,84222b92.d65d18,inject,cdd1c154.3a655,template,
01 - Convert JavaScript object to XML,cdd1c154.3a655,template,82f1bd0b.43474,xml,
01 - Convert JavaScript object to YAML,84222b92.d65d18,inject,cdd1c154.3a655,template,
01 - Convert JavaScript object to YAML,cdd1c154.3a655,template,aaf0100b.16628,yaml,
01 - Convert JavaScript object to YAML,aaf0100b.16628,yaml,1cd4ad02.9a5423,debug,
01 - Create HTTP endpoint,7f10afe.b1faa5,http in,db134063.83b7a,template,
01 - Create HTTP endpoint,5a89ce70.db6d5,http request,18b48ed8.1072e1,debug,
01 - Create HTTP endpoint,31f7aabb.3fbe06,inject,5a89ce70.db6d5,http request,
01 - Create HTTP endpoint,db134063.83b7a,template,d5ce67fc.e6e608,http response,
01 - Create HTTP endpoint,83e766b1.154438,http request,188bc18.5487a3f,debug,
01 - Create HTTP endpoint,89c4d7a7.f8d798,inject,83e766b1.154438,http request,
01 - Delay message,1d17715c.34170f,inject,26b43de5.4df8f2,delay,
01 - Delay message,1d17715c.34170f,inject,9930fecd.ee0c8,debug,
01 - Delay message,26b43de5.4df8f2,delay,c8c2796c.dcb9f8,change,
01 - Delay message,c8c2796c.dcb9f8,change,c58a290e.2fa438,debug,
01 - Extract array of HTML element by CSS selector,8c5224a6.201b88,inject,d6c67e51.0d709,template,
01 - Extract array of HTML element by CSS selector,d6c67e51.0d709,template,599a1155.61a5c,html,
01 - Extract array of HTML element by CSS selector,599a1155.61a5c,html,942b23d1.cce09,debug,
01 - Get standard output from external command,6a5f26a9.0cc2d8,inject,fc2b343c.bbe2f8,exec,
01 - Get standard output from external command,fc2b343c.bbe2f8,exec,2f3bcd73.6fedf2,debug,
01 - Get standard output from external command,fc2b343c.bbe2f8,exec,3280586e.4e3d28,debug,port_2
01 - Handle completion of node execution,9df3290f.c6d2e8,inject,96f1096b.2f82a8,debug,
01 - Handle completion of node execution,23811105.474c6e,complete,f06a3fc9.6bab7,debug,
01 - Handle status message output,cf27351f.392d88,inject,75eaadfb.bed014,debug,
01 - Handle status message output,75fefe32.3e47d,status,cd1ac74a.a149a8,debug,
01 - Link within a tab,a30d20e6.ec6dc,link in,6bf52c5c.d301c4,debug,
01 - Link within a tab,353c85ce.993d0a,inject,70d6f012.8fe6d,link out,
01 - Number-based group mode,74853568.22b87c,batch,8f4f683.99d1998,join,
01 - Number-based group mode,8f4f683.99d1998,join,6c47ccb3.bb0184,debug,
01 - Number-based group mode,e27c55b0.18e9c8,inject,9e65f29a.69ca2,function,
01 - Number-based group mode,9e65f29a.69ca2,function,74853568.22b87c,batch,
01 - Number-based group mode,53645699.a35c48,batch,4cb873e6.f9996c,join,
01 - Number-based group mode,4cb873e6.f9996c,join,51089be3.4ecbf4,debug,
01 - Number-based group mode,67d24449.028eec,inject,5d909bfb.6faf44,function,
01 - Number-based group mode,5d909bfb.6faf44,function,53645699.a35c48,batch,
01 - Output payload value,8035b07f.7547e,inject,20d1344f.931e3c,debug,
01 - Outputs two value with interval,ec5a531b.68b65,inject,cb5e0c78.4bf3d,trigger,
01 - Outputs two value with interval,cb5e0c78.4bf3d,trigger,1b0f8c3e.1fd7e4,debug,
01 - Parse CSV with default column name as message sequence,330f4888.cccb28,inject,ed11f8d6.5e3c88,template,
01 - Parse CSV with default column name as message sequence,a0288b44.71d488,csv,369cbe42.4af9f2,debug,
01 - Parse CSV with default column name as message sequence,ed11f8d6.5e3c88,template,a0288b44.71d488,csv,
01 - Read string from a file,84222b92.d65d18,inject,b4b9f603.739598,file,
01 - Read string from a file,b4b9f603.739598,file,6dc01cac.5c4bf4,file in,
01 - Read string from a file,6dc01cac.5c4bf4,file in,2587adb9.7e60f2,debug,
01 - Scale input value,bb23bd77.ce725,inject,42ed281c.790b38,range,
01 - Scale input value,42ed281c.790b38,range,56e6dd0f.436c24,debug,
01 - Scale input value,54659d5c.0283e4,inject,42ed281c.790b38,range,
01 - Scale input value,85ce0127.07b06,inject,42ed281c.790b38,range,
01 - Select output port,ec0f4187.0bf9e,switch,e3d35f5a.ff33,change,
01 - Select output port,ec0f4187.0bf9e,switch,91114621.cdd9b8,change,port_1
01 - Select output port,ec0f4187.0bf9e,switch,bcbd960b.2f4f48,change,port_2
01 - Select output port,bcbd960b.2f4f48,change,efb63613.b0aa08,debug,
01 - Select output port,91114621.cdd9b8,change,6d4214c1.524a9c,debug,
01 - Select output port,e3d35f5a.ff33,change,903f0813.e99318,debug,
01 - Select output port,398299e.aab0b66,inject,ec0f4187.0bf9e,switch,
01 - Select output port,dba0f204.13c4b,inject,ec0f4187.0bf9e,switch,
01 - Select output port,bcc219f0.48d8e8,inject,ec0f4187.0bf9e,switch,
01 - Send message to output port,ec5a531b.68b65,inject,961abba6.04a028,function,
01 - Send message to output port,961abba6.04a028,function,1b0f8c3e.1fd7e4,debug,
01 - Set payload value,ac4c748f.fd1bc8,inject,67974c84.7ca2c4,change,
01 - Set payload value,67974c84.7ca2c4,change,6b23a342.86d9cc,debug,
01 - Sort array payload,6451c8bb.b52278,sort,cb34307c.ac1dd,debug,
01 - Sort array payload,638546c.38f1fb8,inject,db5d90ac.bbb3f,template,
01 - Sort array payload,db5d90ac.bbb3f,template,6451c8bb.b52278,sort,
01 - Sort array payload,a0de8ca4.6601f,sort,ca74a53e.90fc08,debug,
01 - Sort array payload,23d253dc.5e990c,inject,4ccd5aed.ca24e4,template,
01 - Sort array payload,4ccd5aed.ca24e4,template,a0de8ca4.6601f,sort,
01 - Sort array payload,d4b49c22.32685,sort,45738f07.16416,debug,
01 - Sort array payload,87ce9955.924868,inject,30b81283.f0772e,template,
01 - Sort array payload,30b81283.f0772e,template,d4b49c22.32685,sort,
01 - Sort array payload,b91c19b1.b66b18,sort,32dd80a1.226e4,debug,
01 - Sort array payload,adb0daa2.d85a48,inject,b3ee1b9e.dbf388,template,
01 - Sort array payload,b3ee1b9e.dbf388,template,b91c19b1.b66b18,sort,
01 - Sort array payload,735ec14e.4ed55,sort,e8dc4ae5.f08598,debug,
01 - Sort array payload,c8ce4e74.9db68,inject,ea0384a6.1346b8,template,
01 - Sort array payload,ea0384a6.1346b8,template,735ec14e.4ed55,sort,
01 - Sort array payload,e947beb9.2ec5e,sort,6a4af14a.cafc4,debug,
01 - Sort array payload,d19d7ff5.135f2,inject,5eb37a3e.3c2184,template,
01 - Sort array payload,5eb37a3e.3c2184,template,e947beb9.2ec5e,sort,
01 - Split message payload,657bb57c.a3f98c,split,14228ff.ae24f7,debug,
01 - Split message payload,2afece55.b87de2,inject,cfca3863.d961d8,template,
01 - Split message payload,cfca3863.d961d8,template,657bb57c.a3f98c,split,
01 - Split message payload,bdfa12b9.3fbbc,split,debf23bb.c0245,debug,
01 - Split message payload,7c0948db.e35d38,inject,7f791b7d.94cad4,template,
01 - Split message payload,7f791b7d.94cad4,template,bdfa12b9.3fbbc,split,
01 - Split message payload,71d7c0e0.c0316,split,bee5b6a2.a955a8,debug,
01 - Split message payload,1cdc2df9.bebdd2,inject,f30df13c.19475,template,
01 - Split message payload,f30df13c.19475,template,71d7c0e0.c0316,split,
01 - Split message payload,c0d43ff4.291d8,split,fc9fe458.50fd18,debug,
01 - Split message payload,6d52ce8a.0c715,inject,bdeb8c21.1c6b7,template,
01 - Split message payload,bdeb8c21.1c6b7,template,c0d43ff4.291d8,split,
01 - Transfer data using UDP protocol,73279b5.5151664,udp in,d98b60d3.7331e,debug,
01 - Transfer data using UDP protocol,33f18897.35d5b8,inject,fb19b98f.d5aa58,udp out,
01 - Trigger a flow at startup,8189f250.ddfb2,inject,9a0150e8.6d0b3,debug,
01 - Use mustache syntax,61fbfe34.14a02,inject,bf0cb02.d8e4b5,template,
01 - Use mustache syntax,bf0cb02.d8e4b5,template,153eb0ff.5622df,debug,
01 - Watch change of a file,84222b92.d65d18,inject,b4b9f603.739598,file,
01 - Watch change of a file,15f1f5aa.506ffa,watch,a91562b9.ca805,debug,
01 - Write string to a file,84222b92.d65d18,inject,b4b9f603.739598,file,
01 - Write string to a file,b4b9f603.739598,file,6dc01cac.5c4bf4,file in,
01 - Write string to a file,6dc01cac.5c4bf4,file in,2587adb9.7e60f2,debug,
02 - Check all rules,1644e138.f8d1ef,switch,624b4e9f.37fee,change,
02 - Check all rules,1644e138.f8d1ef,switch,a89d6432.b68318,change,port_1
02 - Check all rules,a89d6432.b68318,change,f1136da2.23516,debug,
02 - Check all rules,624b4e9f.37fee,change,a7f64dbf.3e27b,debug,
02 - Check all rules,c7e952e9.88e5e,inject,1644e138.f8d1ef,switch,
02 - Check all rules,8cf8babd.b43db8,inject,1644e138.f8d1ef,switch,
02 - Check all rules,6a43ae86.b92ed,inject,1644e138.f8d1ef,switch,
02 - Connect to TCP in server,511f8208.c4c20c,tcp in,6b8be121.32be9,debug,
02 - Connect to TCP in server,17cf7d56.9efb03,inject,ec0bc4aa.b3c828,tcp out,
02 - Connect to websocket out server,759c0b2b.8a0484,websocket in,1f7a7454.cb65ec,debug,
02 - Connect to websocket out server,aa2fe781.e92b28,inject,f8bdbc9b.d82dd,websocket out,
02 - Convert JavaScript object to JSON string,cb13761f.56c328,inject,c607642a.78c3c8,template,
02 - Convert JavaScript object to JSON string,c607642a.78c3c8,template,bf309844.fa12e8,json,
02 - Convert JavaScript object to JSON string,bf309844.fa12e8,json,5b6b130b.72a14c,debug,
02 - Convert XML to JavaScript object,93e423a9.a407d,xml,2d0dde7e.a50082,debug,
02 - Convert XML to JavaScript object,ba1dab90.8d1da8,inject,16617f26.14ced1,template,
02 - Convert XML to JavaScript object,16617f26.14ced1,template,93e423a9.a407d,xml,
02 - Convert YAML to JavaScript object,ba1dab90.8d1da8,inject,16617f26.14ced1,template,
02 - Convert YAML to JavaScript object,16617f26.14ced1,template,e2e4f862.f9d7d8,yaml,
02 - Convert YAML to JavaScript object,e2e4f862.f9d7d8,yaml,2d0dde7e.a50082,debug,
02 - Delay message by message property,a5ed5817.9df448,inject,5cf53f4.25b7ec,delay,
02 - Delay message by message property,a5ed5817.9df448,inject,59b7b67a.a8e888,debug,
02 - Delay message by message property,5cf53f4.25b7ec,delay,fc989f41.c4114,change,
02 - Delay message by message property,fc989f41.c4114,change,74ba3d1c.666034,debug,
02 - Delay message by message property,6cdf7297.bf5a8c,inject,59b7b67a.a8e888,debug,
02 - Delay message by message property,6cdf7297.bf5a8c,inject,5cf53f4.25b7ec,delay,
02 - Extract sequence of HTML element by CSS selector,a44973e8.6319b,inject,de1b012e.96ec3,template,
02 - Extract sequence of HTML element by CSS selector,de1b012e.96ec3,template,cee70712.6f3538,html,
02 - Extract sequence of HTML element by CSS selector,cee70712.6f3538,html,17f25482.d4b56b,debug,
02 - Get error output from external command,f507b27c.fff1,inject,28b4f75a.eae548,exec,
02 - Get error output from external command,28b4f75a.eae548,exec,27992c1f.a1c964,debug,port_1
02 - Get error output from external command,28b4f75a.eae548,exec,6e7ff001.2412d,debug,port_2
02 - Handle query parameters,ac0b58f6.c85138,http in,d9c345c7.c2e148,template,
02 - Handle query parameters,77a6b44f.4695ac,inject,9094aba0.095678,http request,
02 - Handle query parameters,d9c345c7.c2e148,template,c110b7f7.22f238,http response,
02 - Handle query parameters,9094aba0.095678,http request,f523b8e.b5c8c48,debug,
02 - Link across tabs,41a35965.1b4ed8,inject,fcd2b35a.6a7c4,link out,
02 - Link across tabs,cc961da1.25402,link in,ce8b8ea5.364cb,debug,
02 - Manual join mode,7f104f68.aecff,inject,ed0381d3.e25fc,template,
