source,target,relation,dataset
Anticipate Billing Date,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Anticipate Billing Date,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed ARKTX,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed CMPRE,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed CMPRE_FLT,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed GBSTK,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed MATNR,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed NETPR,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed SPE_WAUHR_IST,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Goods movement,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Inquiry,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Invoice,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Order,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Quotation,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_Shipment,event_references_object_type,OCEL Standard Logs
Changed SPE_WAZONE_IST,DOCTYPE_WMS transfer order,event_references_object_type,OCEL Standard Logs
Changed TAXM1,DOCTYPE_Delivery,event_references_object_type,OCEL Standard Logs
