model_id,source_node,source_type,target_node,target_type,condition
0_111,budget expenditure increased,transition,p1,place,
0_111,arrived contract customer quotation,transition,p4,place,
0_111,capacity dispatching leveling performed,transition,p7,place,
0_111,p2,place,budget inquiry is rejected,transition,
0_111,p6,place,arrived contract customer quotation,transition,
0_111,p1,place,capacity dispatching leveling performed,transition,
0_111,p3,place,budget expenditure increased,transition,
0_111,budget inquiry is rejected,transition,p3,place,
0_111,activity planning production,transition,p1,place,
0_111,p2,place,activity automatic blocked breakdown of preparation required type,transition,
0_111,p5,place,activity planning production,transition,
0_111,activity automatic blocked breakdown of preparation required type,transition,p5,place,
0_111,p4,place,customer must quotation valid,transition,
0_111,customer must quotation valid,transition,p2,place,
0_135,be can funds is must reservation,transition,p4,place,
0_135,are assigned carried from funds management precommitment to tolerance,transition,p3,place,
0_135,be is proposal protocol,transition,p7,place,
0_135,and application created documents interested loan of party share,transition,p2,place,
0_135,p1,place,and application created documents interested loan of party share,transition,
0_135,changed credit is of record,transition,p5,place,
0_135,p2,place,changed credit is of record,transition,
0_135,p4,place,are assigned carried from funds management precommitment to tolerance,transition,
0_135,p6,place,asset completion contract created header order order order plan,transition,
0_135,p5,place,be can funds is must reservation,transition,
0_135,p3,place,be is proposal protocol,transition,
0_135,asset completion contract created header order order order plan,transition,p1,place,
0_190,correct costs is released trip,transition,p3,place,
0_190,99ab3130-2dec-4f6c-9b10-a0b4b95b2cef,transition,p1,place,
0_190,p6,place,are entry findings technical,transition,
0_190,are entry findings technical,transition,p5,place,
0_190,p3,place,as completely costs object settled to variances,transition,
0_190,p4,place,asset benefits order planning processing sales,transition,
0_190,p2,place,99ab3130-2dec-4f6c-9b10-a0b4b95b2cef,transition,
0_190,p8,place,fc10e6a9-5485-43e3-b770-659c38a469c2,transition,
0_190,p7,place,fc10e6a9-5485-43e3-b770-659c38a469c2,transition,
0_190,p1,place,assessment be be exists key maintenance must plan previous using,transition,
0_190,fc10e6a9-5485-43e3-b770-659c38a469c2,transition,o,place,
0_190,99ab3130-2dec-4f6c-9b10-a0b4b95b2cef,transition,p4,place,
0_190,as completely costs object settled to variances,transition,p2,place,
0_190,assessment be be exists key maintenance must plan previous using,transition,p7,place,
0_190,asset benefits order planning processing sales,transition,p8,place,
0_190,p5,place,correct costs is released trip,transition,
0_218,p32,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,p21,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p11,place,
0_218,p29,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p14,place,
0_218,p20,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p10,place,
0_218,agreement contract is rate service status to,transition,p25,place,
0_218,is relevant relevant relevant shipment,transition,p28,place,
0_218,p30,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,p1,place,be be dangerous data master master processed,transition,
0_218,business cost cost costs order overhead production,transition,p26,place,
0_218,p5,place,actual copy plan plan planning previous settlement to year,transition,
0_218,p7,place,adjustment instrument interest otc otc rate was,transition,
0_218,p10,place,calculation calculation calculation is sample,transition,
0_218,p4,place,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,
0_218,are business event event management reposting resource trend up,transition,p4,place,
0_218,p6,place,agreement contract is rate service status to,transition,
0_218,p27,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,p3,place,business cost cost costs order overhead production,transition,
0_218,budget exceeded investment planning,transition,p23,place,
0_218,create foreign lifo purchase,transition,p30,place,
0_218,counter mtce out plan plan processed run schedule scheduling scheduling separate,transition,p9,place,
0_218,p17,place,is relevant relevant relevant shipment,transition,
0_218,p2,place,create foreign lifo purchase,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p1,place,
0_218,p15,place,automatic clearing,transition,
0_218,p13,place,appraisal appraisal change corrected forecast,transition,
0_218,investment planning programs,transition,p20,place,
0_218,actual copy plan plan planning previous settlement to year,transition,p27,place,
0_218,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,o,place,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p8,place,
0_218,p23,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p6,place,
0_218,p11,place,from investment processing profile program project support to,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p2,place,
0_218,p9,place,archiving be billing cancelled distribution document due due sales was,transition,
0_218,p8,place,eh issue planning processing request,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p13,place,
0_218,p16,place,investment planning programs,transition,
0_218,p26,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,p28,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,automatic clearing,transition,p29,place,
0_218,p12,place,counter mtce out plan plan processed run schedule scheduling scheduling separate,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p17,place,
0_218,p14,place,budget exceeded investment planning,transition,
0_218,archiving be billing cancelled distribution document due due sales was,transition,p3,place,
0_218,p22,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p16,place,
0_218,p25,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,p31,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p15,place,
0_218,p24,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p12,place,
0_218,appraisal appraisal change corrected forecast,transition,p22,place,
0_218,calculation calculation calculation is sample,transition,p24,place,
0_218,p19,place,5eeb3b7f-546a-4b9c-85d7-cbcc442dc886,transition,
0_218,p18,place,are business event event management reposting resource trend up,transition,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p5,place,
0_218,adjustment instrument interest otc otc rate was,transition,p21,place,
0_218,from investment processing profile program project support to,transition,p31,place,
0_218,eh issue planning processing request,transition,p32,place,
0_218,be be dangerous data master master processed,transition,p19,place,
0_218,6ba7b2ac-fd85-4281-a032-945d0704e014,transition,p7,place,
0_248,p23,place,2a3418fb-a80c-4fd2-b127-671d690511dc,transition,
0_248,p31,place,2a3418fb-a80c-4fd2-b127-671d690511dc,transition,
0_248,advices archived changed payment to,transition,p24,place,
0_248,6ac637fb-f191-4f23-8d60-c49be21c0a5e,transition,p14,place,
0_248,p35,place,2a3418fb-a80c-4fd2-b127-671d690511dc,transition,
0_248,p3,place,4ad04c1b-c6e2-42eb-950c-4bbf0fb05123,transition,
0_248,confirmation in order planning project required structuring transfer,transition,p34,place,
0_248,6ac637fb-f191-4f23-8d60-c49be21c0a5e,transition,p16,place,
0_248,6ac637fb-f191-4f23-8d60-c49be21c0a5e,transition,p15,place,
0_248,2a3418fb-a80c-4fd2-b127-671d690511dc,transition,o,place,
0_248,p21,place,capacity evaluated scheduling situation situation to,transition,
0_248,6ac637fb-f191-4f23-8d60-c49be21c0a5e,transition,p4,place,
0_248,6ac637fb-f191-4f23-8d60-c49be21c0a5e,transition,p8,place,
0_248,p37,place,2a3418fb-a80c-4fd2-b127-671d690511dc,transition,
0_248,6ac637fb-f191-4f23-8d60-c49be21c0a5e,transition,p5,place,
