model_id,source_node,source_type,target_node,target_type,condition
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-321FA3C6-D9DF-46B4-85AC-4E9E7310BCC7,startEvent,sid-B11703D1-08C3-416B-8947-76CE10A27978,task,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-B11703D1-08C3-416B-8947-76CE10A27978,task,sid-2A61C308-48B4-4C26-9CB3-D489A0BBC1E3,task,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-2A61C308-48B4-4C26-9CB3-D489A0BBC1E3,task,sid-4C4748D1-DBC6-4155-91C8-F71F3796A768,task,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-435C2233-B6DF-44D9-B7BF-36461549F53D,parallelGateway,sid-A3568080-F469-4D86-BB96-7A5C48342857,task,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-435C2233-B6DF-44D9-B7BF-36461549F53D,parallelGateway,sid-F6E821C8-4300-4AA0-B6D1-6BA5D15FA7DE,task,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-A3568080-F469-4D86-BB96-7A5C48342857,task,sid-EBFCC664-88E4-4A1C-98AB-4CDC6394D1C8,parallelGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-F6E821C8-4300-4AA0-B6D1-6BA5D15FA7DE,task,sid-EBFCC664-88E4-4A1C-98AB-4CDC6394D1C8,parallelGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-4C4748D1-DBC6-4155-91C8-F71F3796A768,task,sid-521803CC-D6CB-4D35-96B4-15506606ED69,exclusiveGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-521803CC-D6CB-4D35-96B4-15506606ED69,exclusiveGateway,sid-435C2233-B6DF-44D9-B7BF-36461549F53D,parallelGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-EBFCC664-88E4-4A1C-98AB-4CDC6394D1C8,parallelGateway,sid-11FBC760-4A87-41FD-8F9F-208E733E7D3C,exclusiveGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-521803CC-D6CB-4D35-96B4-15506606ED69,exclusiveGateway,sid-11FBC760-4A87-41FD-8F9F-208E733E7D3C,exclusiveGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-11FBC760-4A87-41FD-8F9F-208E733E7D3C,exclusiveGateway,sid-DF0BF153-C7B8-47A6-9436-2217B6A02FB9,task,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-DF0BF153-C7B8-47A6-9436-2217B6A02FB9,task,sid-91F2DA29-96C0-431D-B3F6-5E9C53B3EAB0,eventBasedGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-91F2DA29-96C0-431D-B3F6-5E9C53B3EAB0,eventBasedGateway,sid-FF649B0C-30F0-4E43-9BEC-02E1B22AA554,intermediateCatchEvent,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-91F2DA29-96C0-431D-B3F6-5E9C53B3EAB0,eventBasedGateway,sid-8712EF38-01F5-4812-ACB7-8F0EF759F38C,intermediateCatchEvent,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-FF649B0C-30F0-4E43-9BEC-02E1B22AA554,intermediateCatchEvent,sid-E1B754B8-CD68-4BAD-A98D-0E1093BE66EF,exclusiveGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-8712EF38-01F5-4812-ACB7-8F0EF759F38C,intermediateCatchEvent,sid-E1B754B8-CD68-4BAD-A98D-0E1093BE66EF,exclusiveGateway,
src/main/resources/data/dataset1/Cologne_no_layout.bpmn,sid-E1B754B8-CD68-4BAD-A98D-0E1093BE66EF,exclusiveGateway,sid-01574AFD-EC38-403C-8733-445D2455CA33,endEvent,
