model_id,source_node,source_type,target_node,target_type,condition
2003cy/Balmer-Decrement-CLEAR,2003cy/Balmer-Decrement-CLEAR,workflow_repo,astronomy-astrophysics,topic,
2003cy/Balmer-Decrement-CLEAR,2003cy/Balmer-Decrement-CLEAR,workflow_repo,galaxy,topic,
2003cy/Balmer-Decrement-CLEAR,2003cy/Balmer-Decrement-CLEAR,workflow_repo,galaxy-evolution,topic,
2003cy/Balmer-Decrement-CLEAR,2003cy/Balmer-Decrement-CLEAR,workflow_repo,hst,topic,
3D-Beacons/3d-beacons-client,3D-Beacons/3d-beacons-client,workflow_repo,biohackeu20,topic,
3D-Beacons/3d-beacons-client,3D-Beacons/3d-beacons-client,workflow_repo,python,topic,
3d-omics/ht_quant,3d-omics/ht_quant,workflow_repo,pipeline,topic,
3d-omics/mg_quant,3d-omics/mg_quant,workflow_repo,pipeline,topic,
AAFC-Bioinfo-AAC/metagenomics-snakemake,AAFC-Bioinfo-AAC/metagenomics-snakemake,workflow_repo,metagenomics-pipeline,topic,
AAFC-Bioinfo-AAC/metagenomics-snakemake,AAFC-Bioinfo-AAC/metagenomics-snakemake,workflow_repo,snakemake-workflow,topic,
AAFC-Bioinfo-AAC/metatranscriptomics-snakemake,AAFC-Bioinfo-AAC/metatranscriptomics-snakemake,workflow_repo,metatranscriptomics,topic,
AAFC-Bioinfo-AAC/metatranscriptomics-snakemake,AAFC-Bioinfo-AAC/metatranscriptomics-snakemake,workflow_repo,snakemake-workflow,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,bioinformatics,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,bioinformatics-analysis,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,bioinformatics-pipeline,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,crispr,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,ngs,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,ngs-pipeline,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,perturb-seq,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,perturbation,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,rna-seq,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,scrna-seq,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,single-cell,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,single-cell-rna-seq,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,snakemake,topic,
ACTN3Bioinformatics/VCC-project,ACTN3Bioinformatics/VCC-project,workflow_repo,fair-principles,topic,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,metatranscriptomic-pipeline,topic,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,metatranscriptomics,topic,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,snakemake-workflow,topic,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,bio/bwa/index,wrapper,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,bio/multiqc,wrapper,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,bio/samtools/idxstats,wrapper,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,bio/samtools/index,wrapper,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,bio/trim_galore/pe,wrapper,
AU-ENVS-Bioinformatics/TotalRNA-Snakemake,AU-ENVS-Bioinformatics/TotalRNA-Snakemake,workflow_repo,bio/trinity,wrapper,
AaronFeller/Cinful_v2,AaronFeller/Cinful_v2,workflow_repo,antimicrobial-peptides,topic,
